year,month,incoming_ton,incineration_ton,operation_rate,lng_nm3,electricity_kwh,estimated_Carbon,prev_month_incoming_ton,prev_2month_avg_incoming_ton,prev_3month_avg_incoming_ton,same_month_last_year_incoming_ton
2018,1,24611.99,24919.15,89.32,8360,2169972.0,,,,,
2018,2,23078.1,19074.16,76.83,12305,1720152.0,,24611.99,,,
2018,3,22766.03,23834.14,90.67,33950,2088828.0,,23078.1,23845.045,,
2018,4,17934.56,17539.35,92.8,6006,1743624.0,,22766.03,22922.065,23485.373333333333,
2018,5,4111.04,2758.12,91.94,43897,802044.0,,17934.56,20350.295,21259.56333333333,
2018,6,18919.27,21413.74,90.5,21213,2001096.0,,4111.04,11022.800000000001,14937.21,
2018,7,23119.61,25379.36,90.97,9375,2311956.0,,18919.27,11515.155,13654.956666666667,
2018,8,25528.18,24651.39,91.77,12871,2558232.0,,23119.61,21019.440000000002,15383.306666666665,
2018,9,22575.96,23820.04,91.66,9605,2440476.0,,25528.18,24323.895,22522.353333333333,
2018,10,26937.99,25778.29,92.4,13877,2529504.0,,22575.96,24052.07,23741.25,
2018,11,24745.09,24887.16,92.17,8311,2347848.0,,26937.99,24756.975,25014.043333333335,
2018,12,24004.9,25057.72,92.38,22915,2448252.0,,24745.09,25841.54,24753.013333333336,
2019,1,25992.49,23847.97,90.68,20768,2432196.0,,24004.9,24374.995000000003,25229.326666666664,24611.99
2019,2,21110.01,19595.3,89.58,31407,2048832.0,,25992.49,24998.695,24914.160000000003,23078.1
2019,3,20341.81,22676.58,86.59,24565,2369664.0,,21110.01,23551.25,23702.46666666667,22766.03
2019,4,5808.78,8395.71,93.29,24161,1244628.0,,20341.81,20725.91,22481.436666666665,17934.56
2019,5,9114.98,3581.35,91.83,71479,840888.0,,5808.78,13075.295,15753.533333333333,4111.04
2019,6,19055.32,23465.11,92.07,27969,2388276.0,,9114.98,7461.879999999999,11755.19,18919.27
2019,7,25986.76,25822.85,92.56,15795,2578032.0,,19055.32,14085.15,11326.36,23119.61
2019,8,27547.91,25388.16,92.7,15997,2535228.0,,25986.76,22521.04,18052.353333333333,25528.18
2019,9,22948.15,24987.33,92.55,18503,2463444.0,,27547.91,26767.335,24196.663333333334,22575.96
2019,10,26476.11,24820.31,92.44,2736,3180132.0,,22948.15,25248.03,25494.27333333333,26937.99
2019,11,23947.84,22714.06,92.62,28380,2241684.0,,26476.11,24712.13,25657.39,24745.09
2019,12,24875.96,25438.89,91.18,20918,2510604.0,,23947.84,25211.975,24457.36666666667,24004.9
2020,1,23549.26,24264.55,87.0,13620,2473668.0,,24875.96,24411.9,25099.97,25992.49
2020,2,22218.8,21937.68,84.0,13639,2272896.0,,23549.26,24212.61,24124.353333333333,21110.01
2020,3,19534.21,18529.67,66.0,12062,2125116.0,,22218.8,22884.03,23548.006666666664,20341.81
2020,4,14766.45,14519.04,54.0,4029,1860624.0,,19534.21,20876.504999999997,21767.423333333332,5808.78
2020,5,1515.06,1837.61,29.0,8316,722916.0,,14766.45,17150.33,18839.819999999996,9114.98
2020,6,15108.8,14250.01,79.0,42237,1684224.0,,1515.06,8140.755,11938.573333333334,19055.32
2020,7,24110.02,25465.9,91.0,18687,2427120.0,,15108.8,8311.93,10463.436666666666,25986.76
2020,8,26249.76,25435.46,91.0,22257,2406348.0,,24110.02,19609.41,13577.960000000001,27547.91
2020,9,25605.87,23877.45,88.0,22299,2364660.0,,26249.76,25179.89,21822.86,22948.15
2020,10,22797.13,25148.46,90.0,22314,2470860.0,,25605.87,25927.815,25321.88333333333,26476.11
2020,11,24942.01,22794.32,84.0,22672,2264904.0,,22797.13,24201.5,24884.253333333338,23947.84
2020,12,23686.43,23997.82,86.0,9668,2390832.0,,24942.01,23869.57,24448.33666666667,24875.96
2021,1,25823.0,24200.0,88.0,17121,2337228.0,,23686.43,24314.22,23808.523333333334,23549.26
2021,2,18492.0,15167.0,83.0,44953,1707192.0,,25823.0,24754.715,24817.146666666667,22218.8
2021,3,20163.0,21422.0,89.0,69991,2234772.0,,18492.0,22157.5,22667.143333333337,19534.21
2021,4,16364.0,19484.0,91.0,63941,2113164.0,,20163.0,19327.5,21492.666666666668,14766.45
2021,5,1072.0,1498.0,93.0,26563,764244.0,,16364.0,18263.5,18339.666666666668,1515.06
2021,6,23014.0,22553.0,93.0,39214,2237220.0,,1072.0,8718.0,12533.0,15108.8
2021,7,25423.0,23206.0,91.0,28174,2425680.0,,23014.0,12043.0,13483.333333333334,24110.02
2021,8,24196.0,25439.0,91.0,12703,2554308.0,,25423.0,24218.5,16503.0,26249.76
2021,9,25201.0,23493.0,88.0,16833,2293992.0,,24196.0,24809.5,24211.0,25605.87
2021,10,23268.0,23509.0,88.0,20405,2300544.0,,25201.0,24698.5,24940.0,22797.13
2021,11,25381.0,24238.0,90.0,7472,2387988.0,,23268.0,24234.5,24221.666666666668,24942.01
2021,12,24795.0,23699.0,88.0,9335,2339496.0,,25381.0,24324.5,24616.666666666668,23686.43
2022,1,22392.0,20210.0,87.0,41121,2244528.0,,24795.0,25088.0,24481.333333333332,25823.0
2022,2,17644.0,19808.0,86.0,20817,2132532.0,,22392.0,23593.5,24189.333333333332,18492.0
2022,3,21942.0,22755.0,83.0,20243,2340504.0,,17644.0,20018.0,21610.333333333332,20163.0
2022,4,5468.0,9945.0,81.0,20127,1400256.0,,21942.0,19793.0,20659.333333333332,16364.0
2022,5,5229.0,1281.0,92.0,43034,723564.0,,5468.0,13705.0,15018.0,1072.0
2022,6,22720.0,21191.0,90.0,47082,2327508.0,,5229.0,5348.5,10879.666666666668,23014.0
2022,7,20844.0,24278.0,90.0,20142,2610900.0,,22720.0,13974.5,11139.0,25423.0
2022,8,25596.0,23000.0,90.0,35473,2460060.0,,20844.0,21782.0,16264.333333333334,24196.0
2022,9,24364.0,23996.0,89.0,13485,2566152.0,,25596.0,23220.0,23053.333333333332,25201.0
2022,10,24584.0,23763.0,90.0,33122,2567700.0,,24364.0,24980.0,23601.333333333332,23268.0
2022,11,21517.0,23793.0,91.0,20452,2482092.0,,24584.0,24474.0,24848.0,25381.0
2022,12,26656.0,24751.0,90.0,18732,2635560.0,,21517.0,23050.5,23488.333333333332,24795.0
2023,1,21343.0,21724.0,89.0,49090,2445660.0,,26656.0,24086.5,24252.333333333332,22392.0
