facility,year,month,incoming_ton,incineration_ton,operation_rate,lng_nm3,electricity_kwh,prev_month_incoming_ton,prev_2month_avg_incoming_ton,prev_3month_avg_incoming_ton,same_month_last_year_incoming_ton,incineration_rate,same_month_past_avg_incineration_rate
강남,2014,1,25053.02,24184.61,86.68,8147.0,2497068.0,,,,,0.9653371130506422,
강남,2014,2,22477.61,23023.92,91.36,13984.0,2432988.0,25053.02,,,,1.0243046302520595,
강남,2014,3,24056.94,25402.78,92.33,21802.0,2736864.0,22477.61,23765.315000000002,,,1.0559439396698,
강남,2014,4,24297.84,23614.31,92.3,29759.0,2546244.0,24056.94,23267.275,23862.523333333334,,0.9718686928550028,
강남,2014,5,24195.3,24625.8,88.26,19107.0,2497068.0,24297.84,24177.39,23610.796666666665,,1.017792711807665,
강남,2014,6,24012.86,23838.88,88.29,28817.0,2550528.0,24195.3,24246.57,24183.359999999997,,0.9927547155982253,
강남,2014,7,26622.38,23320.99,88.93,56645.0,2440152.0,24012.86,24104.08,24168.666666666668,,0.8759919285954149,
강남,2014,8,24970.0,26079.92,93.48,57439.0,2580912.0,26622.38,25317.620000000003,24943.513333333336,,1.0444501401682018,
강남,2014,9,8563.3,12975.61,94.4,49907.0,1674540.0,24970.0,25796.190000000002,25201.74666666667,,1.5152581364660822,
강남,2014,10,,,,36060.0,626004.0,8563.3,16766.65,20051.893333333333,,,
강남,2014,11,21388.55,14972.88,93.51,97590.0,1585944.0,,,,,0.70004184481884,
강남,2014,12,25039.52,24649.05,92.45,63839.0,2304108.0,21388.55,,,,0.9844058512303749,
강남,2015,1,22001.84,23917.05,91.64,37091.0,2276820.0,25039.52,23214.035,,25053.02,1.087047719645266,0.9653371130506422
강남,2015,2,21599.45,22671.61,91.93,23253.0,2109816.0,22001.84,23520.68,22809.97,22477.61,1.0496383009752563,1.0243046302520595
강남,2015,3,23602.67,24659.13,91.67,21922.0,2323656.0,21599.45,21800.645,22880.27,24056.94,1.0447601902666097,1.0559439396698
강남,2015,4,26260.67,24173.7,92.4,24330.0,2333952.0,23602.67,22601.059999999998,22401.319999999996,24297.84,0.9205286841500998,0.9718686928550028
강남,2015,5,2571.44,6587.11,89.47,58854.0,1295316.0,26260.67,24931.67,23820.930000000004,24195.3,2.561642503811094,1.017792711807665
강남,2015,6,8132.36,3785.95,91.78,87705.0,1000620.0,2571.44,14416.054999999998,17478.26,24012.86,0.4655413680653586,0.9927547155982253
강남,2015,7,25326.13,24687.57,90.18,56920.0,2494332.0,8132.36,5351.9,12321.49,26622.38,0.9747865149551076,0.8759919285954149
강남,2015,8,22490.84,25316.52,93.33,12602.0,2479608.0,25326.13,16729.245,12009.976666666667,24970.0,1.1256369259663046,1.0444501401682018
강남,2015,9,23007.18,21593.74,84.81,37263.0,2250972.0,22490.84,23908.485,18649.77666666667,8563.3,0.9385652652780567,1.5152581364660822
강남,2015,10,26540.29,25383.58,91.35,16269.0,2464920.0,23007.18,22749.010000000002,23608.05,,0.956416828904281,
강남,2015,11,25303.89,24185.05,90.88,168406.0,2321064.0,26540.29,24773.735,24012.77,21388.55,0.9557838735467156,0.70004184481884
강남,2015,12,23413.78,25544.18,91.56,60395.0,2317716.0,25303.89,25922.090000000004,24950.453333333335,25039.52,1.0909891525417938,0.9844058512303749
강남,2016,1,25485.9,25318.51,91.73,15921.0,2199492.0,23413.78,24358.835,25085.986666666664,23527.43,0.9934320545870461,1.026192416347954
강남,2016,2,24476.91,23633.75,91.6,25889.0,2229660.0,25485.9,24449.840000000004,24734.523333333334,22038.53,0.9655528414330077,1.036971465613658
강남,2016,3,27259.77,25151.21,91.63,14322.0,2386800.0,24476.91,24981.405000000002,24458.86333333333,23829.805,0.9226493840556982,1.0503520649682048
강남,2016,4,25546.55,24381.54,91.57,21483.0,2326716.0,27259.77,25868.340000000004,25740.86,25279.254999999997,0.9543965819259352,0.9461986885025513
강남,2016,5,,6587.78,78.08,28219.0,1137661.0,25546.55,26403.160000000003,25761.076666666664,13383.369999999999,,1.7897176078093797
강남,2016,6,,,,25594.0,1114045.0,,,,16072.61,,0.7291480418317919
강남,2016,7,21639.8,17932.97,90.17,58265.0,1911852.0,,,,25974.255,0.8287031303431641,0.9253892217752613
강남,2016,8,23483.52,25690.61,92.08,10584.0,2475684.0,21639.8,,,23730.42,1.0939846326274767,1.0850435330672532
강남,2016,9,22781.1,21739.42,80.52,10957.0,2077848.0,23483.52,22561.660000000003,,15785.24,0.9542743765665398,1.2269117008720696
강남,2016,10,24624.29,23676.12,90.67,38416.0,2412684.0,22781.1,23132.31,22634.806666666667,26540.29,0.9614945243091272,0.956416828904281
강남,2016,11,24065.48,24986.68,92.54,10383.0,1989936.0,24624.29,23702.695,23629.63666666667,23346.22,1.038278895746106,0.8279128591827778
강남,2016,12,24221.74,24171.85,90.06,25417.0,1975356.0,24065.48,24344.885000000002,23823.623333333333,24226.65,0.9979402800954843,1.0376975018860843
강남,2017,1,24086.82,23318.37,83.58,10245.0,1948932.0,24221.74,24143.61,24303.83666666667,24180.253333333338,0.9680966603312516,1.0152722957609848
강남,2017,2,23671.56,23218.12,92.14,6950.0,1988028.0,24086.82,24154.280000000002,24124.680000000004,22851.323333333334,0.9808445239772958,1.0131652575534413
강남,2017,3,26526.64,25869.76,92.72,8690.0,2302884.0,23671.56,23879.190000000002,23993.373333333337,24973.126666666667,0.9752369693259304,1.007784504664036
강남,2017,4,24341.41,24261.03,89.86,16946.0,2211840.0,26526.64,25099.100000000002,24761.673333333336,25368.353333333333,0.9966978083849702,0.9489313196436792
강남,2017,5,17728.97,15861.22,93.16,18825.0,1722600.0,24341.41,25434.025,24846.536666666667,13383.369999999999,0.8946498301931809,1.7897176078093797
강남,2017,6,4633.11,3416.14,92.33,41345.0,837792.0,17728.97,21035.190000000002,22865.673333333336,16072.61,0.737331943338276,0.7291480418317919
강남,2017,7,17863.09,19631.64,93.15,31851.0,1908360.0,4633.11,11181.040000000003,15567.830000000002,24529.436666666665,1.0990058270993428,0.8931605246312287
강남,2017,8,24321.45,26060.89,93.41,9510.0,2341692.0,17863.09,11248.100000000002,13408.39,23648.12,1.0715187622448497,1.0880238995873277
강남,2017,9,25389.73,23827.19,91.42,19147.0,2246472.0,24321.45,21092.270000000004,15605.883333333333,18117.193333333333,0.9384577937614933,1.1360325927702262
강남,2017,10,22915.1,24729.98,91.34,19074.0,2110932.0,25389.73,24855.590000000004,22524.756666666668,25582.29,1.0792001780485356,0.9589556766067041
강남,2017,11,23751.64,24916.63,92.26,4924.0,2081556.0,22915.1,24152.415,24208.76,23585.97333333333,1.049048823575972,0.8980348713705538
강남,2017,12,26280.13,25221.56,90.4,10259.0,2135772.0,23751.64,23333.370000000003,24018.823333333334,24225.013333333336,0.9597197578550791,1.024445094622551
강남,2018,1,24611.99,24919.15,89.32,8360.0,2169972.0,26280.13,25015.885000000002,24315.623333333333,24156.895,1.0124800960832505,1.0034783869035515
강남,2018,2,23078.1,19074.16,76.83,12305.0,1720152.0,24611.99,25446.060000000005,24881.25333333333,23056.3825,0.8265047815894723,1.0050850741594048
강남,2018,3,22766.03,23834.14,90.67,33950.0,2088828.0,23078.1,23845.045000000002,24656.74,25361.504999999997,1.0469168317884145,0.9996476208295095
강남,2018,4,17934.56,17539.35,92.8,6006.0,1743624.0,22766.03,22922.065000000002,23485.373333333333,25111.6175,0.9779637749685521,0.9608729418290021
강남,2018,5,4111.04,2758.12,91.94,43897.0,802044.0,17934.56,20350.295000000002,21259.56333333333,14831.903333333334,0.6709056589086946,1.4913616819373134
강남,2018,6,18919.27,21413.74,90.5,21213.0,2001096.0,4111.04,11022.800000000003,14937.21,12259.443333333335,1.1318481104186366,0.73187600900062
강남,2018,7,23119.61,25379.36,90.97,9375.0,2311956.0,18919.27,11515.155000000002,13654.956666666667,22862.85,1.0977417006601755,0.9446218502482573
강남,2018,8,25528.18,24651.39,91.77,12871.0,2558232.0,23119.61,21019.440000000002,15383.306666666665,23816.4525,0.9656540340909535,1.0838976152517081
강남,2018,9,22575.96,23820.04,91.66,9605.0,2440476.0,25528.18,24323.895000000004,22522.353333333333,19935.3275,1.0551064052204204,1.086638893018043
강남,2018,10,26937.99,25778.29,92.4,13877.0,2529504.0,22575.96,24052.07,23741.25,24693.226666666666,0.9569492749830258,0.9990371770873147
강남,2018,11,24745.09,24887.16,92.17,8311.0,,26937.99,24756.975000000002,25014.043333333335,23627.39,1.0057413410094689,0.9357883594219084
강남,2018,12,24004.9,25057.72,92.38,22915.0,2448252.0,24745.09,25841.54,24753.013333333336,24738.7925,1.043858545546951,1.008263760430683
