date,product,close_price_krw_per_tco2,weighted_avg_price_krw_per_tco2,open_price_krw_per_tco2,high_price_krw_per_tco2,low_price_krw_per_tco2,volume_tco2,trading_value_krw
2026-05-22,KAU25,19700,19721,19650,19750,19650,90342,1781614850
2026-05-22,KAU26,15600,0,0,0,0,0,0
2026-05-22,KAU27,15600,0,0,0,0,0,0
2026-05-22,KAU28,15600,0,0,0,0,0,0
2026-05-22,KAU29,15600,0,0,0,0,0,0
2026-05-22,KAU30,15600,0,0,0,0,0,0
2026-05-22,KCU25,9300,0,0,0,0,0,0
2026-05-22,KCU26,9300,0,0,0,0,0,0
2026-05-22,KOC21-26,12000,0,0,0,0,0,0
2026-05-22,KOC22-27,11000,0,0,0,0,0,0
2026-05-22,KOC23-28,15000,0,0,0,0,0,0
2026-05-22,KOC24-29,13500,0,0,0,0,0,0
2026-05-22,KOC25-30,13000,0,0,0,0,0,0
2026-05-22,KOC26-31,11000,0,0,0,0,0,0
2026-05-22,i-KCU25,15450,0,0,0,0,0,0
2026-05-22,i-KCU26,15450,0,0,0,0,0,0
2026-05-22,i-KOC21-26,14850,0,0,0,0,0,0
2026-05-22,i-KOC22-27,12550,0,0,0,0,0,0
2026-05-22,i-KOC23-28,16500,0,0,0,0,0,0
2026-05-22,i-KOC24-29,14500,0,0,0,0,0,0
2026-05-22,i-KOC25-30,12400,0,0,0,0,0,0
2026-05-22,i-KOC26-31,12400,0,0,0,0,0,0
2026-05-26,KAU25,19950,19913,19700,20050,19700,264709,5271215600
2026-05-26,KAU26,15600,0,0,0,0,0,0
2026-05-26,KAU27,15600,0,0,0,0,0,0
2026-05-26,KAU28,15600,0,0,0,0,0,0
2026-05-26,KAU29,15600,0,0,0,0,0,0
2026-05-26,KAU30,15600,0,0,0,0,0,0
2026-05-26,KCU25,9300,0,0,0,0,0,0
2026-05-26,KCU26,9300,0,0,0,0,0,0
2026-05-26,KOC21-26,12050,0,0,0,0,0,0
2026-05-26,KOC22-27,11000,0,0,0,0,0,0
2026-05-26,KOC23-28,15000,0,0,0,0,0,0
2026-05-26,KOC24-29,13500,0,0,0,0,0,0
2026-05-26,KOC25-30,13000,0,0,0,0,0,0
2026-05-26,KOC26-31,11000,0,0,0,0,0,0
2026-05-26,i-KCU25,15450,0,0,0,0,0,0
2026-05-26,i-KCU26,15450,0,0,0,0,0,0
2026-05-26,i-KOC21-26,14900,0,0,0,0,0,0
2026-05-26,i-KOC22-27,12550,0,0,0,0,0,0
2026-05-26,i-KOC23-28,16500,0,0,0,0,0,0
2026-05-26,i-KOC24-29,14500,0,0,0,0,0,0
2026-05-26,i-KOC25-30,12400,0,0,0,0,0,0
2026-05-26,i-KOC26-31,12400,0,0,0,0,0,0
2026-05-27,KAU25,20700,20311,20000,20700,20000,337323,6851360450
2026-05-27,KAU26,15600,0,0,0,0,0,0
2026-05-27,KAU27,15600,0,0,0,0,0,0
2026-05-27,KAU28,15600,0,0,0,0,0,0
2026-05-27,KAU29,15600,0,0,0,0,0,0
2026-05-27,KAU30,15600,0,0,0,0,0,0
2026-05-27,KCU25,9300,0,0,0,0,0,0
2026-05-27,KCU26,9300,0,0,0,0,0,0
2026-05-27,KOC21-26,12050,0,0,0,0,0,0
2026-05-27,KOC22-27,11000,0,0,0,0,0,0
2026-05-27,KOC23-28,15000,0,0,0,0,0,0
2026-05-27,KOC24-29,13500,0,0,0,0,0,0
2026-05-27,KOC25-30,13000,0,0,0,0,0,0
2026-05-27,KOC26-31,11000,0,0,0,0,0,0
2026-05-27,i-KCU25,15450,0,0,0,0,0,0
2026-05-27,i-KCU26,15450,0,0,0,0,0,0
2026-05-27,i-KOC21-26,14900,0,0,0,0,0,0
2026-05-27,i-KOC22-27,12550,0,0,0,0,0,0
2026-05-27,i-KOC23-28,16500,0,0,0,0,0,0
2026-05-27,i-KOC24-29,14500,0,0,0,0,0,0
2026-05-27,i-KOC25-30,12400,0,0,0,0,0,0
2026-05-27,i-KOC26-31,12400,0,0,0,0,0,0
2026-05-28,KAU25,22750,22495,21000,22750,21000,203472,4577078450
2026-05-28,KAU26,15600,0,0,0,0,0,0
2026-05-28,KAU27,15600,0,0,0,0,0,0
2026-05-28,KAU28,15600,0,0,0,0,0,0
2026-05-28,KAU29,15600,0,0,0,0,0,0
2026-05-28,KAU30,15600,0,0,0,0,0,0
2026-05-28,KCU25,9300,0,0,0,0,0,0
2026-05-28,KCU26,9300,0,0,0,0,0,0
2026-05-28,KOC21-26,12050,0,0,0,0,0,0
2026-05-28,KOC22-27,11000,0,0,0,0,0,0
2026-05-28,KOC23-28,15000,0,0,0,0,0,0
2026-05-28,KOC24-29,13500,0,0,0,0,0,0
2026-05-28,KOC25-30,13000,0,0,0,0,0,0
2026-05-28,KOC26-31,11000,0,0,0,0,0,0
2026-05-28,i-KCU25,15450,0,0,0,0,0,0
2026-05-28,i-KCU26,15450,0,0,0,0,0,0
2026-05-28,i-KOC21-26,14900,0,0,0,0,0,0
2026-05-28,i-KOC22-27,12550,0,0,0,0,0,0
2026-05-28,i-KOC23-28,16500,0,0,0,0,0,0
2026-05-28,i-KOC24-29,14500,0,0,0,0,0,0
2026-05-28,i-KOC25-30,12400,0,0,0,0,0,0
2026-05-28,i-KOC26-31,12400,0,0,0,0,0,0
2026-05-29,KAU25,24550,24290,23000,24950,23000,421616,10240877600
2026-05-29,KAU26,15600,0,0,0,0,0,0
2026-05-29,KAU27,15600,0,0,0,0,0,0
2026-05-29,KAU28,15600,0,0,0,0,0,0
2026-05-29,KAU29,15600,0,0,0,0,0,0
2026-05-29,KAU30,15600,0,0,0,0,0,0
2026-05-29,KCU25,9300,0,0,0,0,0,0
2026-05-29,KCU26,9300,0,0,0,0,0,0
2026-05-29,KOC21-26,12050,0,0,0,0,0,0
2026-05-29,KOC22-27,11000,0,0,0,0,0,0
2026-05-29,KOC23-28,15000,0,0,0,0,0,0
2026-05-29,KOC24-29,13500,0,0,0,0,0,0
2026-05-29,KOC25-30,13000,0,0,0,0,0,0
2026-05-29,KOC26-31,11000,0,0,0,0,0,0
2026-05-29,i-KCU25,15450,0,0,0,0,0,0
2026-05-29,i-KCU26,15450,0,0,0,0,0,0
2026-05-29,i-KOC21-26,14900,0,0,0,0,0,0
2026-05-29,i-KOC22-27,12550,0,0,0,0,0,0
2026-05-29,i-KOC23-28,16500,0,0,0,0,0,0
2026-05-29,i-KOC24-29,14500,0,0,0,0,0,0
2026-05-29,i-KOC25-30,12400,0,0,0,0,0,0
2026-05-29,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-01,KAU25,23500,23224,24500,24550,22600,428136,9943057250
2026-06-01,KAU26,24550,0,0,0,0,0,0
2026-06-01,KAU27,24550,0,0,0,0,0,0
2026-06-01,KAU28,24550,0,0,0,0,0,0
2026-06-01,KAU29,24550,0,0,0,0,0,0
2026-06-01,KAU30,24550,0,0,0,0,0,0
2026-06-01,KCU25,9300,0,0,0,0,0,0
2026-06-01,KCU26,9300,0,0,0,0,0,0
2026-06-01,KOC21-26,12050,0,0,0,0,0,0
2026-06-01,KOC22-27,11000,0,0,0,0,0,0
2026-06-01,KOC23-28,15000,0,0,0,0,0,0
2026-06-01,KOC24-29,13500,0,0,0,0,0,0
2026-06-01,KOC25-30,13000,0,0,0,0,0,0
2026-06-01,KOC26-31,11000,0,0,0,0,0,0
2026-06-01,i-KCU25,15450,0,0,0,0,0,0
2026-06-01,i-KCU26,15450,0,0,0,0,0,0
2026-06-01,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-01,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-01,i-KOC23-28,16500,0,0,0,0,0,0
2026-06-01,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-01,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-01,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-02,KAU25,24200,23790,23500,24200,23500,590844,14055883400
2026-06-02,KAU26,24550,0,0,0,0,0,0
2026-06-02,KAU27,24550,0,0,0,0,0,0
2026-06-02,KAU28,24550,0,0,0,0,0,0
2026-06-02,KAU29,24550,0,0,0,0,0,0
2026-06-02,KAU30,24550,0,0,0,0,0,0
2026-06-02,KCU25,9300,0,0,0,0,0,0
2026-06-02,KCU26,9300,0,0,0,0,0,0
2026-06-02,KOC21-26,12050,0,0,0,0,0,0
2026-06-02,KOC22-27,11000,0,0,0,0,0,0
